Message_id,Movie_name,Message
p61_bolly,Apna Sapna Money Money - 1CD Rip - BBrG.txt," Why are you shouting? Call up Carlos again and ask him. Shut up! Say something once that makes me proud of you, not worry about you. You want to ruin my impression on my first job? Try to recollect! "
p62_bolly,Apna Sapna Money Money 2006 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Everything in the world is under my control Don't take me to be a statue Why are you so proud about your beauty, love? A lamp has to light up and fade away Why don't you understand that? "
p63_bolly,Apna Sapna Money Money 2006 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Why are you shouting? Call up Carlos again and ask him. Shut up! Say something once that makes me proud of you, not worry about you. You want to ruin my impression on my first job? Try to recollect! "
p64_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Come. Our dear ones are close to us. We are proud of you, son. Today, father touched me after many years. I am very happy! "
p65_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt,Father spoke? What did he say? He said that a son's victory is....victory for his father too. I am proud of my Angad. Simran. - Yes? Have you brought money for Kara“? - Yes. 
p66_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Ladies and gentlemen. Baldev Singh has come! He won the first silver medal for....boxing for India and made India proud! Ehsan, am I dreaming? Come on! Come on! "
p67_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," You can ban me but you can't....ban the spirit in me. My son Angad will come. He will bring my pride back. I challenge you. Grandma, get me a Play station from Germany. "
p68_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," They are very hi-tech and we are..Ehsan, did you hear that? Even though his father was..ill he went there to see boxing..in the Western. That is the spirit. I'm proud of you boy! Sir, how will we match them? For technology I'm taking you to Delhi. "
p69_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt,Because no one would put ourselves....through what we go through....if it wasn't for the money. That is why we fight. I fight for the pride of my country. I fight for the pride of my country. He got scared of my son. 
p70_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt,That is why we fight. I fight for the pride of my country. I fight for the pride of my country. He got scared of my son. What did he say? - Don't know. 
p71_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Ladies and gentlemen..Please welcome to the centre of the ring....brother of the miracle boy, Angad Chaudhary Singh. Many people are hoping and praying. Pride, honour, revenge, determination.....all of them are effective here today. It feels like a funeral in here tonight. You can feel it to be pin-drop. "
p72_bolly,Apne 2007 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Son, parents have been doing....this for their children for ages. Son, the children do something.....like what you have clone for their parents....in today's world you don't get to see it much. I am proud of you. Cheese! "
p73_bolly,Apne~2007~CD1.txt," Come. Our dear ones are close to us. We are proud of you, son. Today, father touched me after many years. I am very happy! "
p74_bolly,Apne~2007~CD1.txt,Father spoke? What did he say? He said that a son's victory is....victory for his father too. I am proud of my Angad. Simran. - Yes? Have you brought money for Karan? - Yes. 
p75_bolly,Apne~2007~CD1.txt," Ladies and gentlemen. Baldev Singh has come! He won the first silver medal for....boxing for india and made India proud! Ehsan, am I dreaming? Come on! Come on! "
p76_bolly,Apne~2007~CD1.txt," You can ban me but you can't....ban the spirit in me. My son Angad will come. He will bring my pride back. I challenge you. I challenge you. Grandma, get me a Playstation from Germany. "
p77_bolly,Apne~2007~CD1.txt," They are very hi-tech and we are..Ehsan, did you hear that? Even though his father was ill he went....there to see boxing in the Western. That is the spirit. I'm proud of you boy! Sir, how will we match them? For technology I'm taking you to Delhi. "
p78_bolly,Apne~2007~CD2.txt,Because no one would put ourselves....through what we go through....if it wasn't for the money. That is why we fight. I fight for the pride of my country. I fight for the pride of my country. He got scared of my son. 
p79_bolly,Apne~2007~CD2.txt,That is why we fight. I fight for the pride of my country. I fight for the pride of my country. He got scared of my son. What did he say? - Don't know. 
p80_bolly,Apne~2007~CD2.txt," Ladies and gentlemen..Please welcome to the centre of the ring....brother of the miracle boy, Angad Chaudhary Singh. Many people are hoping and praying. Pride, honour, revenge, determination all .... of them are effective here today. It feels like a funeral in here tonight. You can feel it to be pin-drop. "
p81_bolly,Apne~2007~CD2.txt," Son, parents have been doing this for their children for ages. Son, the children do something....like what you have done for thier parents....in today's world you don't get to see it much. I am proud of you. Cheese! Smile. "
p82_bolly,Aradhana 2.txt,And I request the chief guest to start the function. In today's function we have gathered to congratulate......those brave young pilots......who have risked their lives for their country And in the process they have set such standards of bravery......that every citizen of India is proud of them. The State has already honoured them and will continue to do so. But I believe that there is no greater award......than the love and good wishes of the people. 
p83_bolly,Aradhana 2.txt,Mother! My son! Today I can hold my head up with pride and say......that I do not know how much penance I have done......in order to become the son of a great mother like you. 
p84_bolly,Arjun 1985 Hindi 480p DvDRip x264 AC3 5.1...Hon3y.txt," Yes, Arvind. Trivedi is finished now. Arjun, I'm proud of you. You really did very courageous work. You gave me this courage, Mr. Chowgale. "
p85_bolly,Arpan (1983) - DVDrip - XviD - Esubs [Desi Doctor].txt," I'll commit suicide, doctor has said that nothing can be done. No Vinney, every thing will be alright. I had promised you that, I will save the pride of your family. So today, I'm going to do just the same, there is no other way. This is Shobha. - Why did you call me so late, what should......I do for you? - I'm ready to get married, "
p86_bolly,Arpan (1983) - DVDrip - XviD - Esubs [Desi Doctor].txt," J.K. Kidnapped me with the help of some goons, because he......wanted to take revenge on Shobhaji at any cost. Shobhaji met him, but he made a deal that she should marry him......immediately or else he won't allow us to marry. In this situation, to save the pride of your family and......for my sake & Vinney's, she deliberately strangled her love......and set foot in J. K's trap. Not just that, people started blaming her for getting married......to J.k. For his money. But this is not true. She transferred the money to J.K.'s younger brother. "
p87_bolly,Arpan (1983) - DVDrip - XviD - Esubs [Desi Doctor].txt," You don't know the reality. You are blaming the one whom we......should have worshipped. - Worshiping that rascal? Mother you have forced me to reveal the truth. This girl, your daughter and my sister. Ask her what Shobha......has done to save the pride of our family. She was pregnant, before marriage. I had done a mistake, mother. "
p88_bolly,Arpan (1983) - DVDrip - XviD - Esubs [Desi Doctor].txt," If Shobha wouldn't have married J.K. Vinney and Rakesh wouldn't......have got married. - But why? Since, Shobha had insulted J.K. He wanted to take revenge, after......marriage he has harassed her a lot. She has gone through a lot. And this, she has done just for your sake, to save your pride. And I have always thought wrong about her, and blamed her I was wrong. I've committed a crime. God shouldn't forgive me. "
p89_bolly,Aryan (2006) 1CD.txt," Without you, my heart is so helpless I worship you for no want,  I consider you god, you are my pride O my beautiful sweetheart, take my heart I want nothing else in return, just give me your heart "
p90_bolly,Asambhav.2004.CD1.Hindi.DVDRip.EngSub-BrG.txt," It's a mission that is given to the entire army By entrusting me the responsibility, you have honoured me I won't disappoint you. I will protect the pride of my country Prepare to leave tonight This contains your new identity cards, credit cards...documents, ticKets and passport "
p91_bolly,Asambhav.2004.CD2.Hindi.DVDRip.EngSub-BrG.txt," This embassy has never given the Indian government any cause for complaint Twice, we have won the award for being the best Indian embassy I was proud of the embassy! But one of you has cast a slur on our pride and honour...and given us a bad name! Captain Arya has proof. He's a special agent of the Indian army "
p92_bolly,Asambhav.2004.CD2.Hindi.DVDRip.EngSub-BrG.txt," Twice, we have won the award for being the best Indian embassy I was proud of the embassy! But one of you has cast a slur on our pride and honour...and given us a bad name! Captain Arya has proof. He's a special agent of the Indian army New Delhi has sent him here on a special assignment "
p93_bolly,Asli Naqli (1986) - DVDRip - XviD - 2CDRip - SUBS - Alice TDBB.txt," No matter how much a person changes himself..''..his cunningness doesn't vanish.'' Even when the strength is destroyed. Pride doesn't become extinct. if a crow tries to apes a swan, it won't be called a swan. if a crow tries to apes a swan, it won't be called a swan. "
p94_bolly,AsliNaqli.1962.DvDRip.XviD.MP3.txt," Yes Renu! Lend me your support today. You've unveiled before me the true world. And today, you will have to...... guide me towards that world. You took great pride in saying that you've never accepted defeat. Possibly, you have forgotten God! That's why he lifted the cover...... of untrueness from mother's eyes and shattered to pieces your pride. - What do you mean? - By which other way would you...... threaten me to marry Rekha? - Don't behave like blind. "
p95_bolly,AsliNaqli.1962.DvDRip.XviD.MP3.txt," You've unveiled before me the true world. And today, you will have to...... guide me towards that world. You took great pride in saying that you've never accepted defeat. Possibly, you have forgotten God! That's why he lifted the cover...... of untrueness from mother's eyes and shattered to pieces your pride. - What do you mean? - By which other way would you...... threaten me to marry Rekha? - Don't behave like blind. I was blind earlier but not now. My eyes have opened. "
p96_bolly,AsliNaqli.1962.DvDRip.XviD.MP3.txt," - I am one among them. - You are a fool. That's why you're embracing poverty, the biggest curse of this world. You take pride in considering one among them! They are the truly wealthy person. Wealthy by their heart. - Are you aware of the consequences? - Yes! "
p97_bolly,Aulad 1987.txt," Shared the joy that nature gave him Life is now a burden that weighs heavily on his shoulders Making humankind proud...""there he goes"" And there he goes raising a dust...""setting his own house on fire"" In his life, he brought darkness...""In his life, he brought darkness...'""in his eyes, a thousands storms...""""all his hopes, he dashed...""""and there he goes...""""and there he goes...""Come on, drink milk now. - No! I am not hungry. "
p98_bolly,Aulad 1987.txt,Only Yashoda is Kishan's mother. - I repeat again. I won't leave without taking Kishan with me. He's the pride of our family. - What nonsense is this? How could you think of such an abominable thing? To compensate the shortcoming of your family you've come to loot here? 
p99_bolly,Aarya-2.1CD.DvD.X264_2.txt," Father-in-law! # I'm a foreigner, I came from foreign... # # For proud young men, I left Washington... # # Got fed up boarding airbus... # # I started liking red bus... # "
p100_bolly,Auzaar_Eng.txt," No father, I don't need your money. Son, my entire wealth is for you. All the sons of the world are proud of their father's wealth...and you hate your father's income? I hate the income which has been earned in a wrong manner. The cars are ready. "
p101_bolly,Auzaar_Eng.txt," You are taking undue advantage of your strength? You call yourself a man? You pride your manhood, isn't it? - Yash, no! - Sir, forgive me! What have you done? You have killed your right hand man? "
p102_bolly,Auzaar_Eng.txt," I am here! Didn't I tell you that Yash is my shadow?. The strength which you prided the most...has been shattered! Turn around! Prathna, go home. "
p103_bolly,Avtaar-1983-DVDRip-AC3-XviD-xDR-English.txt," Avtar Kishen lives by his own efforts. Your wealth can never wield power over his poverty. In your false pride, you're losing a good opportunity. You'll regret it someday. Sir, it's the needy who regrets! "
p104_bolly,Awara.1951.CD1.DVDrip.XviD.SD.ENG.txt," Looking for this thing? I guessed it was for me. So why not take it for myself? Want a ten or a twenty? No...?Bravo, my boy! You'll make your guru proud someday And someday, I'll ask your father what the gentleman's son grows up to be Raj, I've been dying to see you! This time, it has been a whole year! "
p105_bolly,Awara.1951.CD1.DVDrip.XviD.SD.ENG.txt," A good car. - For me, that's a sleight of hand Eleven tomorrow. I'll tell you where Good! Someday, you'll surely make me proud It's late You have to make it by eleven "
p106_bolly,Awarapan.2007.DVDRip.XviD.CD1-TmG.txt,You can shoot and abuse whoever you want! What are you? Your stature and your pride....that's all because my father is supporting you. Once he stops supporting you then see what happens with you. Did you hear! 
p107_bolly,Awarapan.2007.DVDRip.XviD.CD2-TmG.txt," A gift for you, dad has sent it. Open it, open it. You have lost your pride but not your ego. Here. Call and apologise to Malik sir. "
p108_bolly,Awwal Number (1990).txt," Pack the team with non-players, and it'd make no difference I'm no Ronnie unless I steamroll the opposition Arrogant. Proud. Conceited. - Thus I am the superstar Vain. Over-confident. Hot-air balloon. - Saw how I was mobbed? Because I'm Ronnie "
p109_bolly,Awwal Number (1990).txt,Naughty boy! I love my Grandpa. - As I love my Ma And we're proud of you Anyone selling dresses here? Can I talk to Kondy? - He isn't here 
p110_bolly,Aya Sawan Jhoom Ke 1969 Hindi 480p DvDRip x264 AC3 5.1...Hon3y.txt," To protect his sister's husband, he put his life into risk. You are a great mother, who gave birth to a son like him. You should feel proud that Jai is your brother. Who committed the murder then? -I did -That can't be true This is true. I decieved you and father and myself too. "
p111_bolly,Azhar 2016 Hindi DvDRip x264 AC3 5.1 - Hon3y [Exclusive].txt,"‘When I held the bat for the first time.‘ I didn't have a single clue.‘ ‘But grandpa had faith.‘ He'll make our entire community proud. He'll play 100 test-matches. Won't you, son? Come..come on."
p112_bolly,Azhar 2016 Hindi DvDRip x264 AC3 5.1 - Hon3y [Exclusive].txt,And Azhar make a another century. Very well deserve hundred by Azhar. He has made the country proud. Presenting the indian captain Azhar. What would you like to say about your innings? 
p113_bolly,BAAGHI-3-2020-Hindi-TRUE-WEB-DL-1080p-AVC-UNTOUCHED-AAC-2.5GB-ESub1.txt," Sir. But what's in a name? It's you who has made us proud. Yes, you...Cops and Cops, he's the Dabangg (Fearless) of this Police Station...Singham, Simmba......and in a couple of weeks,... he'll be Sooryavanshi as well. And......he can even be the next Bhokelal Mupe Chatora. "
p114_bolly,BAAGHI-3-2020-Hindi-TRUE-WEB-DL-1080p-AVC-UNTOUCHED-AAC-2.5GB-ESub1.txt,Looking at your posture......It seems as if you didn't do this job...But it was someone else. Cops and Cops......you should learn from him. Not even an ounce of pride. Like me. Bravo. 
p115_bolly,BAAGHI-3-2020-Hindi-TRUE-WEB-DL-1080p-AVC-UNTOUCHED-AAC-2.5GB-ESub1.txt,You deserve my ancestral sword. - Photographer. - Yes Sir..Photo please. Smile cops. Bhokelal Mupe Chatora...is proud of you. Proud of you. Proud of you. Good boy. 
p116_bolly,BAAGHI-3-2020-Hindi-TRUE-WEB-DL-1080p-AVC-UNTOUCHED-AAC-2.5GB-ESub1.txt,- Photographer. - Yes Sir..Photo please. Smile cops. Bhokelal Mupe Chatora...is proud of you. Proud of you. Proud of you. Good boy. Take it. It's yours. 
p117_bolly,BAAGHI-3-2020-Hindi-TRUE-WEB-DL-1080p-AVC-UNTOUCHED-AAC-2.5GB-ESub1.txt,"Smile cops. Bhokelal Mupe Chatora...is proud of you. Proud of you. Proud of you. Good boy. Take it. It's yours. This garland."" "
p118_bolly,BAAGHI-3-2020-Hindi-TRUE-WEB-DL-1080p-AVC-UNTOUCHED-AAC-2.5GB-ESub1.txt,Ronnie! Wake up. - Ronnie! Wake up. - Ronnie! Inspector Vikram Charan Chaturvedi has made us proud. People cross limits for relationships......but I have one such relationship......for which I crossed borders. What do we humans want in life? 
